Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,18,18,24,28,33,36,41,38,37,31,23,18,41
Monhtly max,10.9,12.2,17.6,23.3,26.6,31.0,34.0,33.7,30.9,25.2,16.9,11.0,34.9
Daily max,1.2,2.7,7.8,12.5,17.3,22.1,27.8,27.4,21.9,14.1,5.7,0.7,13.4
Daily mean,-4.1,-2.9,1.7,5.8,10.6,14.8,19.4,18.7,13.8,7.2,0.2,-4.5,6.7
Daily min,-9.4,-8.6,-4.5,-0.8,3.8,7.6,10.9,10.0,5.8,0.2,-5.4,-9.7,0.0
Monthly min,-23.5,-21.1,-16.1,-8.8,-3.2,0.7,5.3,3.8,-1.4,-10.1,-18.0,-22.8,-28.2
Record low,-43,-42,-34,-23,-9,-3,0,-3,-11,-23,-32,-43,-43
Precipitation,22,21,36,64,74,83,34,34,37,47,32,26,510
Snowfall,32,33,33,33,9.1,2.0,0.0,0.25,1.0,15,32,41,231.35
Precipitation days,10.7,9.5,11.8,13.7,15.4,15.3,10.1,10.1,9.0,11.0,10.2,11.0,137.8
Snowy days,9.2,8.4,8.4,6.7,1.5,0.2,0.0,0.0,0.2,3.0,7.1,9.4,54.1
