Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,11.2,15.8,20.8,28.0,32.4,34.8,35.6,34.8,32.4,24.4,17.2,12.1,35.6
Daily max,3.4,3.6,6.5,11.8,16.7,19.6,22.2,21.8,17.5,12.6,7.6,4.4,12.3
Daily mean,1.4,1.4,3.5,7.7,12.5,15.6,18.1,17.7,13.9,9.8,5.5,2.5,9.1
Daily min,-0.7,-0.8,0.7,4.2,8.6,11.9,14.3,14.1,10.8,7.1,3.3,0.5,6.2
Record low,-27.6,-25.5,-21.0,-16.5,-6.6,0.4,0.1,0,-2.5,-8.8,-18.4,-22.9,-27.6
Precipitation,53.0,36.9,42.3,35.8,47.2,63.9,60.9,67.5,61.0,63.3,56.4,57.4,645.7
Precipitation days,14.9,11.4,13.5,11.5,10.8,12.0,12.4,12.0,13.6,14.5,15.4,15.4,157.4
Snowy days,5.9,4.4,4.1,1.3,0,0,0,0,0,0.2,1.7,3.9,21.4
Humidity,86,84,82,76,72,72,73,75,78,83,84,85,79
Sunshine hours,51.5,68.1,119.7,180.9,230.2,213.3,228.1,198.9,141.9,100.9,55.3,40.6,1629.7
