Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,16,14,16,23,28,30,32,29,26,17,13,12,32
Monthly max,7.3,7.6,9.6,16.4,22.3,25.6,25.4,24.7,19.1,13.2,8.6,7.3,27.2
Daily max,0.6,2.1,4.0,9.3,14.2,16.9,17.8,17.2,13.4,8.5,3.5,1.5,9.1
Daily mean,-1.9,-1.1,0.5,4.9,9.4,12.6,13.9,13.3,10.1,5.7,1.0,-0.9,5.6
Daily min,-4.6,-4.1,-3.0,0.5,4.6,8.2,10.1,9.5,6.7,2.8,-1.6,-3.4,2.2
Monthly min,-14.4,-12.4,-11.0,-5.1,-0.4,3.7,6.5,5.2,0.4,-3.9,-9.7,-12.8,-17.9
Record low,-30,-30,-26,-14,-4,-1,2,-3,-5,-12,-21,-29,-30
Precipitation,153,109,93,88,89,97,131,163,232,214,166,166,1702
Snowfall,62,42,31,3.0,0,0,0,0,0,2.3,35,46,223
Precipitation days,20.4,16.8,17.8,17.2,16.1,16.7,18.5,19.4,22.3,23.0,20.9,21.1,230.2
Snowy days,10.3,8.2,7.5,1.2,0,0,0,0,0,0.7,6.2,10.1,44.2
Humidity,79.9,80.8,79.4,76.8,76.3,78.3,81.3,84.3,87.9,87.7,85.1,82.8,81.7
Dew point,-7.8,-5.1,-3.2,-0.1,3.8,7.5,9.7,9.7,7.4,3.6,-2.1,-5.4,1.5
Sunshine hours,80.9,89.2,137.3,182.3,231.7,189.3,182.9,161.6,109.6,66.2,58.5,41.2,1530.7
Percent sunshine,36,34,37,42,44,35,34,34,28,21,25,20,34
