Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,21,22,32,37,36,37,39,40,38,31,27,25,40
Monthly max,14.8,14.4,19.5,26.3,30.7,33.1,34.9,33.7,30.9,26.1,21.2,16.4,35.9
Daily max,3.5,4.7,8.7,14.9,20.5,25.4,28.7,27.9,23.8,17.7,11.8,6.3,16.2
Daily mean,-1.0,0.0,3.8,9.6,15.1,20.1,23.6,22.8,18.7,12.4,6.9,1.9,11.2
Daily min,-5.5,-4.7,-1.0,4.2,9.6,14.9,18.4,17.7,13.6,7.3,2.1,-2.4,6.2
Monthly min,-15.5,-13.7,-9.4,-1.9,3.4,8.4,13.4,12.4,6.2,-0.2,-5.7,-10.9,-16.7
Record low,-25,-27,-17,-12,-2,4,9,4,0,-7,-14,-24,-27
Precipitation,101,87,124,109,86,97,74,91,106,106,108,118,1208
Snowfall,26,27,16,1.5,0.0,0.0,0.0,0.0,0.0,0.51,2.5,19,93
Precipitation days,11.2,10.3,11.6,11.7,12.2,10.8,9.3,9.1,9.1,10.2,9.6,11.9,127.0
Snowy days,5.7,5.4,3.7,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.6,3.4,19.3
Humidity,63.9,63.0,62.9,61.4,66.6,70.1,71.0,72.5,73.0,70.2,68.9,67.0,67.5
Dew point,-8.7,-8.1,-3.9,0.6,7.2,13.1,16.4,16.1,12.1,5.9,0.7,-5.5,3.8
Sunshine hours,171.7,172.6,215.6,225.1,254.9,274.1,290.6,262.8,233.0,208.7,148.0,148.6,2605.7
Possible sunshine,58,58,58,56,57,60,63,61,62,61,50,52,58
UV index,1,2,4,6,7,8,8,8,6,4,2,1,5
