Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,16.1,21.4,26.0,30.2,34.8,37.6,42.6,39.5,36.2,28.9,21.6,17.1,42.6
Daily max,7.6,8.8,12.8,16.6,20.2,23.4,25.7,25.6,21.5,16.5,11.1,8.0,16.5
Daily mean,5.4,6.0,9.2,12.2,15.6,18.8,20.9,20.8,17.2,13.2,8.7,5.9,12.8
Daily min,3.2,3.3,5.6,7.9,11.1,14.2,16.2,16.0,13.0,9.9,6.2,3.8,9.2
Record low,-14.6,-14.7,-9.1,-3.5,-0.1,3.1,6.0,6.3,1.8,-3.8,-14.0,-23.9,-23.9
Precipitation,47.6,41.8,45.2,45.8,69.0,51.3,59.4,58.0,44.7,55.2,54.3,62.0,634.3
Precipitation days,9.9,9.1,9.5,8.6,9.2,8.3,7.4,8.1,7.5,9.5,10.4,11.4,108.9
Snowy days,3.0,3.9,1.6,0.6,0,0,0,0,0,0,0.7,2.1,11.9
Humidity,83,78,73,69,70,69,68,71,76,82,84,84,76
Sunshine hours,59.0,83.7,134.9,177.3,201.0,203.5,222.4,215.3,174.7,118.6,69.8,56.9,1717
Percent sunshine,22,29,37,43,43,42,46,48,46,35,25,22,37
UV index,1,2,3,4,6,7,7,6,4,3,1,1,4
