Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,11.6,10.2,14.2,17.1,20.6,22.4,25.7,24.8,20.1,15.7,12.7,12.0,25.7
Daily max,3.2,3.3,4.2,6.9,10.1,13.0,14.9,14.1,11.4,7.6,4.7,3.3,8.1
Daily mean,0.7,0.5,1.2,3.7,6.7,9.8,11.6,11.0,8.5,4.9,2.2,0.8,5.1
Daily min,-1.7,-1.9,-1.3,1.0,4.0,7.2,9.1,8.6,6.2,2.7,-0.1,-1.6,2.7
Record low,-24.5,-17.6,-16.4,-16.4,-7.7,-0.7,1.4,-0.4,-4.4,-10.6,-15.1,-16.8,-24.5
Precipitation,87.1,90.6,80.7,59.0,52.6,43.3,49.9,64.5,87.0,79.8,86.5,94.9,875.9
Snowfall,19.9,17.1,23.2,12.1,1.6,0,0,0,0,1.4,8.7,17.8,101.8
Rainy days,15.3,15.0,14.2,12.0,10.8,9.3,10.3,11.6,15.0,13.1,13.7,14.6,154.9
Snowy days,12.2,12.4,9.6,2.1,0.3,0,0,0,0,0.6,5.3,12.6,55.1
Humidity,78.1,77.1,76.2,74.4,74.9,77.9,80.3,81.6,79.0,78.0,77.7,77.7,77.8
Dew point,-2.9,-3.3,-3.0,-1.0,2.0,5.6,7.9,7.6,5.1,1.2,-1.5,-2.9,1.2
Sunshine hours,22.6,61.6,110.3,165.1,209.0,189.5,183.1,164.8,118.3,91.6,39.7,12.6,1368.2
Percent sunshine,12,25,29,36,35,28,28,31,31,31,21,16,27
UV index,0,0,1,2,3,4,4,3,2,1,0,0,2
