Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,20.8,23.0,26.6,30.0,34.2,39.3,39.7,40.6,40.0,32.0,26.1,21.2,40.6
Daily max,12.0,13.0,15.8,18.8,22.3,28.1,31.0,31.6,26.7,22.2,16.9,12.7,21.0
Daily mean,7.5,8.0,10.7,13.6,18.0,22.5,25.1,25.4,21.0,17.0,12.4,8.5,15.8
Daily min,3.4,3.4,5.9,8.6,12.6,16.7,19.3,19.8,16.0,12.4,8.5,4.7,10.9
Record low,-11.0,-6.9,-6.5,-2.4,1.8,5.6,9.1,9.3,4.3,0.8,-5.2,-6.6,-11.0
Precipitation,65.6,62.8,58.6,68.6,56.9,30.1,19.8,30.2,64.9,88.1,108.2,98.3,752.0
Precipitation days,7.40,7.48,6.85,7.42,5.54,3.38,2.16,2.20,6.00,7.32,8.84,9.44,74.03
Humidity,75.8,71.5,70.6,70.4,69.0,65.4,63.3,64.1,69.1,74.0,77.9,77.2,70.7
Dew point,3.9,3.5,5.8,8.5,12.1,15.1,16.9,17.7,15.5,12.9,9.3,5.2,10.5
Sunshine hours,155.9,171.9,203.1,221.1,276.5,298.8,337.6,320.2,237.9,200.6,153.3,146.9,2723.9
