Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,19,21,26,32,34,42,39,37,37,32,23,19,42
Monthly max,13.9,15.1,19.1,23.5,27.7,29.9,32.9,32.2,28.9,22.2,16.4,13.8,34.5
Daily max,8.9,10.2,12.3,15.2,19.1,21.7,25.2,25.3,22.0,15.8,11.2,8.3,16.3
Daily mean,6.0,6.7,8.4,10.7,14.2,16.7,19.5,19.7,17.0,12.1,8.1,5.6,12.1
Daily min,3.2,3.2,4.4,6.3,9.3,11.7,13.8,14.0,12.0,8.3,4.9,2.8,7.8
Monthly min,-3.3,-2.6,-0.4,2.0,4.8,8.1,10.8,10.9,7.7,2.7,-1.6,-3.7,-5.8
Record low,-18,-17,-12,-2,-2,3,6,7,2,-2,-14,-14,-18
Precipitation,147,96,106,81,48,37,15,25,41,99,160,145,999
Snowfall,4.6,5.6,1.0,0,0,0,0,0,0,0,0.51,4.3,16
Precipitation days,18.7,15.9,17.1,15.0,11.3,9.2,4.7,4.9,8.3,14.3,18.4,18.4,156.2
Snowy days,1.4,1.2,0.4,0,0,0,0,0,0,0,0.2,1.5,4.7
Humidity,78.0,75.2,73.6,71.4,68.9,67.1,65.4,68.2,73.2,78.6,79.8,80.1,73.3
Dew point,0.6,1.7,2.4,3.8,6.4,9.0,10.8,11.5,10.1,7.3,3.8,1.3,5.7
Sunshine hours,69.8,108.8,178.4,207.3,253.7,268.4,312.0,281.4,221.7,142.6,72.7,52.9,2169.7
Percent sunshine,25,38,48,51,54,56,65,64,59,42,26,20,49
UV index,1,2,3,5,6,7,7,6,5,3,1,1,4
