Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high humidex,19.2,17.3,17.2,26.1,29.5,34.8,38.5,37.7,35.8,29.8,23.7,20.7,38.5
Record high,15.7,16.0,19.4,24.1,27.2,30.6,32.2,33.9,29.5,24.6,19.4,17.9,33.9
Daily max,-0.8,-1.1,1.0,5.6,11.1,15.8,20.7,20.5,16.5,10.8,6.4,1.8,9.0
Daily mean,-4.5,-4.9,-2.6,1.9,6.4,10.9,15.8,16.1,12.4,7.4,3.0,-1.5,5.0
Daily min,-8.2,-8.6,-6.1,-1.9,1.7,5.9,10.9,11.6,8.2,3.9,-0.3,-4.7,1.0
Record low,-28.3,-29.4,-25.6,-18.3,-6.7,-3.3,-1.1,0.5,-1.7,-5.6,-14.4,-20.0,-29.4
Record low wind chill,-35.7,-40.3,-40.3,-21.4,-14.2,-7.7,-3.4,0.0,-4.4,-11.8,-24.6,-34.3,-40.3
Precipitation,149.2,129.5,142.2,122.9,102.6,97.6,91.6,100.0,129.6,156.2,148.1,164.8,1534.2
Rainfall,66.0,61.6,84.8,96.1,97.9,97.5,91.6,100.0,129.6,153.7,124.8,102.9,1206.4
Snowfall,88.7,71.0,57.3,25.3,4.4,0.0,0.0,0.0,0.0,2.4,22.4,63.4,335.0
Precipitation days,21.8,18.5,19.6,17.3,16.6,14.7,13.6,13.7,15.5,18.6,19.7,22.0,211.7
Rainy days,9.3,8.6,11.0,13.9,15.9,14.7,13.6,13.7,15.5,18.1,15.7,12.7,162.6
Snowy days,18.3,14.6,13.3,7.0,2.1,0.07,0.0,0.0,0.0,1.4,7.6,14.6,78.9
Humidity,80.4,77.9,76.2,75.6,71.5,71.1,69.7,71.2,73.5,76.7,79.8,82.3,75.5
Sunshine hours,65.5,90.2,107.4,140.4,176.3,198.9,216.7,206.6,170.5,122.1,76.3,62.4,1633.2
Percent sunshine,23.7,31.1,29.2,34.3,37.6,41.7,44.9,46.7,45.1,36.2,27.2,23.7,35.1
UV index,1,2,3,5,6,7,7,7,5,3,1,1,4
