Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,8.4,8.5,9.7,17.0,26.6,29.9,30.2,28.4,23.4,18.6,11.9,9.7,30.2
Daily max,-1.0,-1.2,0.6,4.1,8.8,13.0,16.3,15.0,10.9,5.2,2.1,0.3,6.2
Daily mean,-3.0,-3.3,-1.9,1.2,5.5,9.4,12.3,11.3,7.8,3.1,0.2,-1.7,3.4
Daily min,-5.3,-5.6,-4.4,-1.6,2.4,6.2,9.0,8.3,5.3,0.9,-1.9,-3.9,0.8
Record low,-18.3,-18.4,-17.0,-14.3,-6.6,-2.5,0.7,1.1,-4.3,-9.6,-14.2,-16.8,-18.4
Precipitation,108.3,96.7,96.7,71.1,56.5,58,72.5,88,111.3,127.4,94.4,109.7,1090.6
Precipitation days,15.4,12.9,11.4,11.6,11.1,10.3,12.8,12.6,14.9,17.7,13.5,15.6,160.1
Sunshine hours,3,36,111,171,215,239,226,164,96,55,8,0,1324
Daylight hours,1.8,7.4,11.8,16.3,22.1,24,23.6,18,13.3,8.9,3.6,0,12.6
UV index,0,0,1,2,3,3,3,2,1,0,0,0,1
Snow depth,68,89,104,100,37,0,0,0,0,18,35,47,114
