Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,27,29,34,35,37,40,41,41,40,37,30,26,41
Monthly max,19.3,20.1,25.2,30.2,32.8,35.4,36.7,35.8,33.3,29.2,23.8,19.5,37.3
Daily max,7.1,9.1,13.6,20.0,24.7,29.5,32.0,31.0,27.1,20.8,14.6,9.3,19.9
Daily mean,3.1,4.4,8.7,14.6,19.6,24.6,27.2,26.3,22.4,16.0,9.9,5.4,15.2
Daily min,-1.1,-0.1,3.7,9.1,14.4,19.7,22.4,21.7,17.8,11.2,5.3,1.4,10.5
Monthly min,-9.8,-8.4,-4.8,1.6,7.5,13.2,17.7,16.7,10.7,3.7,-1.8,-5.9,-10.9
Record low,-26,-26,-16,-9,1,6,11,9,2,-3,-12,-25,-26
Precipitation,73,67,89,82,100,107,110,83,100,93,74,87,1062
Snowfall,12,13,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.3,35
Precipitation days,9.7,9.3,11.0,10.8,11.6,10.6,10.5,8.7,8.7,8.3,8.4,10.1,117.7
Snowy days,2.8,2.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.3,8.0
Humidity,62.1,60.5,58.6,58.0,64.5,65.8,66.9,69.3,69.7,67.4,64.7,64.1,64.3
Dew point,-5.7,-4.7,-0.4,4.3,11.3,16.4,18.9,18.8,15.3,8.6,2.8,-2.7,6.9
Sunshine hours,144.6,151.8,204.0,228.2,260.5,283.2,280.5,263.1,225.0,203.6,150.2,133.0,2527.7
Percent sunshine,48,50,55,57,59,64,62,62,60,59,50,45,57
UV index,2,3,5,7,8,9,9,8,7,4,3,2,6
